comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,competing_min_mag,solo_at_mag6,solo_at_mag8
C/1862 N1,C/1862 N1 (Schmidt),C_1862N1_1862,1862,1862-06-22,4.409802247991496,False,unexpected_seen,1.5381748630743517,False,False
C/1862 W1,C/1862 W1 (Respighi),C_1862W1_1862,1862,1862-12-28,4.620734576165952,False,unexpected_seen,1.5381748630743517,False,False
C/1862 X1,C/1862 X1 (Bruhns),C_1862X1_1863,1863,1863-02-03,6.616462511181874,False,unexpected_seen,1.5381748630743517,False,False
C/1863 G1,C/1863 G1 (Klinkerfues),C_1863G1_1863,1863,1863-04-05,4.556964587421276,False,unexpected_seen,4.620734576165952,False,False
C/1863 T1,C/1863 T1 (Baeker),C_1863T1_1863,1863,1863-12-29,6.083474475314093,False,unexpected_seen,3.3212245374407434,False,False
C/1863 V1,C/1863 V1 (Tempel),C_1863V1_1863,1863,1863-11-09,3.956742415554515,False,unexpected_seen,3.3212245374407434,False,False
C/1863 Y1,C/1863 Y1 (Respighi),C_1863Y1_1863,1863,1863-12-28,3.3212245374407434,False,unexpected_seen,6.083474475314093,True,False
C/1864 N1,C/1864 N1 (Tempel),C_1864N1_1864,1864,1864-08-16,0.6007491484168297,False,unexpected_seen,-11.319644795208932,False,False
C/1864 R1,C/1864 R1 (Donati),C_1864R1_1864,1864,1864-07-28,5.618457088334909,False,unexpected_seen,-11.319644795208932,False,False
C/1864 Y1,C/1864 Y1 (Bruhns),C_1864Y1_1864,1864,1864-12-28,7.661654663219698,False,unexpected_seen,-11.319644795208932,False,False
C/1865 B1,C/1865 B1 (Great southern comet),C_1865B1_1865,1865,1865-01-14,-11.319644795208932,False,unexpected_seen,0.6007491484168297,False,False
C/1867 S1,C/1867 S1 (Baeker-Winnecke),C_1867S1_1867,1867,1867-11-07,3.6887622334768793,False,unexpected_seen,6.1018270931032665,True,False
