comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,max_salience,peak_month_offset,integ_above_p75,lead_time_p75,lead_time_p90,preperi_max
19P,19P/Borrelly,19P_1925,1925,1925-10-07,10.644532227552787,True,expected_seen,0.1935483870967742,6,0.025241200861956442,6.0,,0.1428571428571428
19P,19P/Borrelly,19P_1918,1918,1918-11-17,8.88084482019897,True,expected_seen,0.1549295774647887,6,0.0,,,0.0465116279069767
19P,19P/Borrelly,19P_1911,1911,1911-12-18,9.015790368903518,True,expected_seen,0.3333333333333333,-2,0.6146896164767268,-5.0,-3.0,0.3333333333333333
19P,19P/Borrelly,19P_1905,1905,1905-01-17,10.330968182474278,False,unexpected_seen,0.0851063829787234,1,0.0,,,0.056
20D,20D/Westphal,20D_1913,1913,1913-11-26,5.410890220859876,True,expected_seen,0.2459016393442623,3,0.15150639642928265,-2.0,,0.2105263157894736
20D,20D/Westphal,20D_1852,1852,1852-10-13,5.064014171378807,False,unexpected_seen,0.75,5,1.1450065118900934,-5.0,-5.0,0.391304347826087
21P,21P/Giacobini-Zinner,21P_1940,1940,1940-02-17,12.620458334581947,True,expected_seen,0.1428571428571428,-3,0.0,,,0.1428571428571428
21P,21P/Giacobini-Zinner,21P_1933,1933,1933-07-15,11.78011191220804,True,expected_seen,0.3333333333333333,-5,0.211004675149412,-5.0,-5.0,0.3333333333333333
21P,21P/Giacobini-Zinner,21P_1926,1926,1926-12-11,11.546823184049805,True,expected_seen,0.4285714285714285,6,0.31146925122374414,5.0,6.0,0.088235294117647
21P,21P/Giacobini-Zinner,21P_1913,1913,1913-11-02,9.757448211272166,True,expected_seen,0.2459016393442623,3,0.15150639642928265,-2.0,,0.2105263157894736
21P,21P/Giacobini-Zinner,21P_1900,1900,1900-11-28,10.771690193456902,False,unexpected_seen,0.2117647058823529,-4,0.09597855123867677,-4.0,,0.2117647058823529
22P,22P/Kopff,22P_1939,1939,1939-03-13,12.336595368190851,True,expected_seen,0.1875,1,0.019192813765182254,1.0,,0.1333333333333333
22P,22P/Kopff,22P_1932,1932,1932-08-21,10.638393176294349,True,expected_seen,0.3333333333333333,6,0.2901275172604838,-5.0,6.0,0.2368421052631578
22P,22P/Kopff,22P_1926,1926,1926-01-28,12.787037244940468,True,expected_seen,0.1935483870967742,3,0.025241200861956442,3.0,,0.1463414634146341
22P,22P/Kopff,22P_1919,1919,1919-06-28,9.961419312925663,True,expected_seen,0.1549295774647887,-1,0.0,,,0.1549295774647887
22P,22P/Kopff,22P_1906,1906,1906-05-03,11.19930478865529,False,unexpected_seen,0.0945945945945946,-5,0.0,,,0.0945945945945946
23P,23P/Brorsen-Metcalf,23P_1919,1919,1919-10-17,5.928362410521481,True,expected_seen,0.1549295774647887,-5,0.0,,,0.1549295774647887
24P,24P/Schaumasse,24P_1927,1927,1927-10-01,12.64229901547705,True,expected_seen,0.4285714285714285,-4,0.3709587748580046,-5.0,-4.0,0.4285714285714285
24P,24P/Schaumasse,24P_1919,1919,1919-10-20,12.404421167870508,True,expected_seen,0.1549295774647887,-5,0.0,,,0.1549295774647887
24P,24P/Schaumasse,24P_1911,1911,1911-11-13,12.302052562642263,False,unexpected_seen,0.3333333333333333,-1,0.6995469872039344,-5.0,-2.0,0.3333333333333333
25D,25D/Neujmin 2,25D_1927,1927,1927-01-16,11.798744794850334,True,expected_seen,0.4285714285714285,5,0.31146925122374414,4.0,5.0,0.088235294117647
25D,25D/Neujmin 2,25D_1916,1916,1916-03-11,9.914709992830762,False,unexpected_seen,0.2048192771084337,-4,0.0457749980967421,-4.0,,0.2048192771084337
26P,26P/Grigg-Skjellerup,26P_1937,1937,1937-05-23,10.313587066499071,True,expected_seen,0.2307692307692307,3,0.09415485829959522,-4.0,,0.2
26P,26P/Grigg-Skjellerup,26P_1932,1932,1932-05-12,9.3024658811816,True,expected_seen,0.2368421052631578,1,0.12267684907971285,-2.0,,0.1764705882352941
26P,26P/Grigg-Skjellerup,26P_1927,1927,1927-05-10,8.823175403704223,True,expected_seen,0.4285714285714285,1,0.35744777927464055,0.0,1.0,0.1
26P,26P/Grigg-Skjellerup,26P_1922,1922,1922-05-15,9.468488674929675,False,unexpected_seen,0.1219512195121951,-3,0.0,,,0.1219512195121951
27P,27P/Crommelin,27P_1928,1928,1928-11-04,5.253828375367279,True,expected_seen,0.1351351351351351,-1,0.0,,,0.1351351351351351
27P,27P/Crommelin,27P_1873,1873,1873-12-02,3.382514341277396,False,unexpected_seen,0.2352941176470588,1,0.1731712208826014,-1.0,,0.2307692307692307
28P,28P/Neujmin 1,28P_1931,1931,1931-04-30,13.805276617104136,True,expected_seen,0.1891891891891892,4,0.020882002954371454,4.0,,0.075
28P,28P/Neujmin 1,28P_1913,1913,1913-08-16,10.87465854104917,False,unexpected_seen,0.2459016393442623,6,0.15150639642928265,1.0,,0.0930232558139534
29P,29P/Schwassmann-Wachmann 1,29P_1925,1925,1925-05-07,15.643546445436534,False,unexpected_seen,0.1428571428571428,0,0.0,,,0.12
30P,30P/Reinmuth 1,30P_1935,1935,1935-04-29,13.888561855834425,True,expected_seen,0.2,5,0.03729867100862533,2.0,,0.0967741935483871
30P,30P/Reinmuth 1,30P_1928,1928,1928-01-30,12.608889294203642,False,unexpected_seen,0.2142857142857142,-3,0.059489523634260494,-3.0,,0.2142857142857142
