comet_id,comet_name,designation,perihelion_date,perihelion_year,raw_status_icon,raw_aerith_status,source_url,source_row_html,in_scope
0006P,6P/d'Arrest,6P,1910-09-16,1910,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P</td><td><center>1910 Sept.16</center></td></tr>",True
0006P,6P/d'Arrest,0006P/?,1904-01-29,1904,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1904 Jan. 29</center></td></tr>",True
0006P,6P/d'Arrest,6P,1897-05-23,1897,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P</td><td><center>1897 May  23</center></td></tr>",True
0006P,6P/d'Arrest,6P,1890-09-18,1890,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P</td><td><center>1890 Sept.18</center></td></tr>",True
0006P,6P/d'Arrest,0006P/?,1884-01-14,1884,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1884 Jan. 14</center></td></tr>",True
0006P,6P/d'Arrest,6P,1877-05-10,1877,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P</td><td><center>1877 May  10</center></td></tr>",True
0006P,6P/d'Arrest,6P,1870-09-23,1870,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P</td><td><center>1870 Sept.23</center></td></tr>",True
0006P,6P/d'Arrest,0006P/?,1864-02-26,1864,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1864 Feb. 26</center></td></tr>",True
0006P,6P/d'Arrest,6P/1857 X1,1857-11-28,1857,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P/1857 X1</td><td><center>1857 Nov. 28</center></td></tr>",True
0006P,6P/d'Arrest,6P/1851 M1,1851-07-09,1851,pr_ball.gif,Discovered,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""!"" height=""16"" src=""../../../icon/pr_ball.gif"" width=""17""/></td>
<td>6P/1851 M1</td><td><center>1851 July  9</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1939-06-22,1939,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1939 June 22</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1933-05-18,1933,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1933 May  18</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1927-06-21,1927,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1927 June 21</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1921-06-13,1921,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1921 June 13</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1915-09-02,1915,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1915 Sept. 2</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1909-10-09,1909,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1909 Oct.  9</center></td></tr>",True
0007P,7P/Pons-Winnecke,0007P/?,1904-01-21,1904,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1904 Jan. 21</center></td></tr>",True
0007P,7P/Pons-Winnecke,7P,1898-03-20,1898,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0007P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>7P</td><td><center>1898 Mar. 20</center></td></tr>",True
