modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
1869 T1,C/1869 T1,C/1869 T1 (Tempel),1869-10-10,1869,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
6P,6P,6P/d'Arrest,1870-09-23,1870,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,16.406,medium_sbdb_good
80P,80P,80P/Peters-Hartley,1870-01-12,1870,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.537,medium_sbdb_good
1870 K1,C/1870 K1,C/1870 K1 (Winnecke),1870-07-14,1870,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1870 Q1,C/1870 Q1,C/1870 Q1 (Coggia),1870-09-02,1870,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1870 W1,C/1870 W1,C/1870 W1 (Winnecke),1870-12-20,1870,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
2P,2P,2P/Encke,1871-12-29,1871,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,12.855,high_nuclear_biased
8P,8P,8P/Tuttle,1871-12-02,1871,True,AERITH,expected_seen,horizons_tmag,14.6,4.5,True,13.857,high_nuclear_biased
1871 G1,C/1871 G1,C/1871 G1 (Winnecke),1871-06-11,1871,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1871 L1,C/1871 L1,C/1871 L1 (Tempel),1871-07-27,1871,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1871 V1,C/1871 V1,C/1871 V1 (Tempel),1871-12-20,1871,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
289P,289P,289P/Blanpain,1872-02-25,1872,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,22.467,high_nuclear_biased
3D,3D,3D/Biela,1872-09-30,1872,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,7.256,medium_sbdb_good
54P,54P,54P/de Vico-Swift-NEAT,1872-01-02,1872,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,16.585,medium_sbdb_good
10P,10P,10P/Tempel 2,1873-06-25,1873,True,AERITH,unexpected_seen,horizons_tmag,14.7,4.5,True,14.419,high_nuclear_biased
26P,26P,26P/Grigg-Skjellerup,1873-02-16,1873,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.383,high_nuclear_biased
27P,27P,27P/Crommelin,1873-12-02,1873,True,AERITH,unexpected_seen,horizons_tmag,12.7,27.75,False,6.0,medium_sbdb_good
4P,4P,4P/Faye,1873-07-18,1873,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,14.869,medium_sbdb_good
5D,5D,5D/Brorsen,1873-10-10,1873,True,AERITH,expected_seen,horizons_tmag,8.3,10.0,False,6.413,medium_sbdb_good
9P,9P,9P/Tempel 1,1873-05-10,1873,True,AERITH,expected_seen,horizons_tmag,12.9,9.0,False,14.564,medium_sbdb_good
1873 Q1,C/1873 Q1,C/1873 Q1 (Borrelly),1873-09-11,1873,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1873 Q2,C/1873 Q2,C/1873 Q2 (Henry),1873-10-02,1873,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
41P,41P,41P/Tuttle-Giacobini-Kresak,1874-05-15,1874,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,16.097,high_nuclear_biased
1874 D1,C/1874 D1,C/1874 D1 (Winnecke),1874-03-10,1874,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
